Country,Region,Start Date,ISO Code
Algeria,Africa,January 1997,12
Angola,Africa,January 1997,24
Benin,Africa,January 1997,204
Botswana,Africa,January 1997,72
Burkina Faso,Africa,January 1997,854
Burundi,Africa,January 1997,108
Cameroon,Africa,January 1997,120
Central African Republic (CAR),Africa,January 1997,140
Chad,Africa,January 1997,148
Cote d'Ivoire,Africa,January 1997,384
Democratic Republic of Congo (DRC),Africa,January 1997,180
Djibouti,Africa,January 1997,262
Egypt,Africa,January 1997,818
Equatorial Guinea,Africa,January 1997,226
Eritrea,Africa,January 1997,232
Eswatini,Africa,January 1997,748
Ethiopia,Africa,January 1997,231
Gabon,Africa,January 1997,266
Gambia,Africa,January 1997,270
Ghana,Africa,January 1997,288
Guinea,Africa,January 1997,324
Guinea-Bissau,Africa,January 1997,624
Kenya,Africa,January 1997,404
Lesotho,Africa,January 1997,426
Liberia,Africa,January 1997,430
Libya,Africa,January 1997,434
Madagascar,Africa,January 1997,450
Malawi,Africa,January 1997,454
Mali,Africa,January 1997,466
Mauritania,Africa,January 1997,478
Morocco,Africa,January 1997,504
Mozambique,Africa,January 1997,508
Namibia,Africa,January 1997,516
Niger,Africa,January 1997,562
Nigeria,Africa,January 1997,566
Republic of Congo,Africa,January 1997,178
Rwanda,Africa,January 1997,646
Senegal,Africa,January 1997,686
Sierra Leone,Africa,January 1997,694
Somalia,Africa,January 1997,706
South Africa,Africa,January 1997,710
South Sudan,Africa,January 1997,728
Sudan,Africa,January 1997,729
Tanzania,Africa,January 1997,834
Togo,Africa,January 1997,768
Tunisia,Africa,January 1997,788
Uganda,Africa,January 1997,800
Zambia,Africa,January 1997,894
Zimbabwe,Africa,January 1997,716
Bangladesh,Asia,January 2010,50
Cambodia,Asia,January 2010,116
India,Asia,January 2016,356
Indonesia,Asia,January 2016,360
Laos,Asia,January 2010,418
Malaysia,Asia,January 2018,458
Myanmar,Asia,January 2010,104
Nepal,Asia,January 2010,524
Pakistan,Asia,January 2010,586
Philippines,Asia,January 2016,608
Sri Lanka,Asia,January 2010,144
Thailand,Asia,January 2010,764
Vietnam,Asia,January 2010,704
Afghanistan,Caucasus and Central Asia,January 2017,4
Armenia,Caucasus and Central Asia,January 2018,51
Azerbaijan,Caucasus and Central Asia,January 2018,31
Georgia,Caucasus and Central Asia,January 2018,268
Kazakhstan,Caucasus and Central Asia,January 2018,398
Kyrgyzstan,Caucasus and Central Asia,January 2018,417
Tajikistan,Caucasus and Central Asia,January 2018,762
Turkmenistan,Caucasus and Central Asia,January 2018,795
Uzbekistan,Caucasus and Central Asia,January 2018,860
Albania,Europe,January 2018,8
Belarus,Europe,January 2018,112
Bosnia and Herzegovina,Europe,January 2018,70
Bulgaria,Europe,January 2018,100
Croatia,Europe,January 2018,191
Cyprus,Europe,January 2018,196
Greece,Europe,January 2018,300
Kosovo,Europe,January 2018,0
Moldova,Europe,January 2018,498
Montenegro,Europe,January 2018,499
North Macedonia,Europe,January 2018,807
Romania,Europe,January 2018,642
Russia,Europe,January 2018,643
Serbia,Europe,January 2018,688
Ukraine,Europe,January 2018,804
Anguilla,Latin America,January 2019,660
Antigua and Barbuda,Latin America,January 2019,28
Argentina,Latin America,January 2019,32
Aruba,Latin America,January 2019,533
Bahamas,Latin America,January 2019,44
Barbados,Latin America,January 2019,52
Belize,Latin America,January 2019,84
Bermuda,Latin America,January 2019,60
Bolivia,Latin America,January 2019,68
Brazil,Latin America,January 2019,76
British Virgin Islands,Latin America,January 2019,92
Caribbean Netherlands,Latin America,January 2019,535
Cayman Islands,Latin America,January 2019,136
Chile,Latin America,January 2019,152
Colombia,Latin America,January 2019,170
Costa Rica,Latin America,January 2019,188
Cuba,Latin America,January 2019,192
Curacao,Latin America,January 2019,531
Dominica,Latin America,January 2019,212
Dominican Republic,Latin America,January 2019,214
Ecuador,Latin America,January 2019,218
El Salvador,Latin America,January 2019,222
Falkland Islands,Latin America,January 2019,238
French Guiana,Latin America,January 2019,254
Grenada,Latin America,January 2019,308
Guadeloupe,Latin America,January 2019,312
Guatemala,Latin America,January 2019,320
Guyana,Latin America,January 2019,328
Haiti,Latin America,January 2019,332
Honduras,Latin America,January 2019,340
Jamaica,Latin America,January 2019,388
Martinique,Latin America,January 2019,474
Mexico,Latin America,January 2019,484
Montserrat,Latin America,January 2019,500
Nicaragua,Latin America,January 2019,558
Panama,Latin America,January 2019,591
Paraguay,Latin America,January 2019,600
Peru,Latin America,January 2019,604
Puerto Rico,Latin America,January 2019,630
Saint Helena,Latin America,January 2019,654
Saint Kitts and Nevis,Latin America,January 2019,659
Saint Lucia,Latin America,January 2019,662
Saint Vincent and Grenadines,Latin America,January 2019,670
Saint-Barthelemy,Latin America,January 2019,652
Saint-Martin,Latin America,January 2019,663
Sint Maarten,Latin America,January 2019,534
Suriname,Latin America,January 2019,740
Trinidad and Tobago,Latin America,January 2019,780
Turks and Caicos Islands,Latin America,January 2019,796
Uruguay,Latin America,January 2019,858
Venezuela,Latin America,January 2019,862
"Virgin Islands, U.S.",Latin America,January 2019,850
Bahrain,Middle East,January 2016,48
Iran,Middle East,January 2016,364
Iraq,Middle East,January 2016,368
Israel,Middle East,January 2016,376
Jordan,Middle East,January 2016,400
Kuwait,Middle East,January 2016,414
Lebanon,Middle East,January 2016,422
Oman,Middle East,January 2016,512
Palestine,Middle East,January 2016,275
Qatar,Middle East,January 2016,634
Saudi Arabia,Middle East,January 2015,682
Syria,Middle East,January 2017,760
Turkey,Middle East,January 2016,792
